gene	gene_eid	gene_chr	gene_start	gene_end	gene_biotype	driver	driver_eid	bac_clone	bac_chr	bac_start	bac_end	bac_size_kb	gene_distance_kb	gene_in_bac_pct	status	evidence_level	dataset	n_samples	r	percentile	mean_r	cis_top10_p	cis_top50_p	cis_top100_p	evidence_short	pmid
Trappc5	ENSMUSG00000040236	8	3726299	3731255	protein_coding	Fcer2a	ENSMUSG00000005540	~213kb BAC	8	3631737	3844175	213	-9.2	100	candidate	L2c	GSE72831	14	0.947	99.9	-0.011	0.019	4.0e-03	1.5e-02	rank 16/12655; Top 3 cis in BAC; needs 2nd dataset	
Ankk1	ENSMUSG00000032257	9	49326494	49338321	protein_coding	Drd2	ENSMUSG00000032259	RP23-161H15 (~217kb)	9	49251927	49319477	68	46.7	100	confirmed	L2	GSE114784+GSE94145	5+18	0.873	98.4	-0.038	0.0091	0.00094	0.0037	2 independent datasets; GSE94145 alone passes both stages (r=0.80 pct 97.7 clean bg, cis 9.4e-4); Fisher-combined cis p=1.1e-4; pooled r=0.81 [0.57,0.92]; wave5 08-20; BAC contains Drd2/Ankk1/Ttc12 per PMC3074337 Fig1G (capture verified)	
Zbtb16	ENSMUSG00000066687	9	48565597	48747522	protein_coding	Htr3a	ENSMUSG00000032269	~?kb BAC	9	48810513	48822399	12	-159.9	0	candidate	L2c	GSE90860+GSE141874	223+	0.284	99.5	0.002	0.0079	3.9e-02		scRNA pseudo-bulk; 2 datasets consistent; far from BAC	
Usp28	ENSMUSG00000032267	9	48896675	48953817	protein_coding	Htr3a	ENSMUSG00000032269	~?kb BAC	9	48810513	48822399	12	108.8	0	candidate	L2c	GSE90860	223	0.194	97.5	0.002	0.0079	3.9e-02		scRNA; same locus as Zbtb16	
Baiap2l2	ENSMUSG00000018126	15	79142395	79169737	protein_coding	Sox10	ENSMUSG00000033006	RP24-85O14 (~210kb; note: UCSC span conflicts ±, coords are ±100kb est.)	15	78939108	79149440	210	112.0	100	confirmed	L2	GSE211929	10	0.864	99.9	0.068	0.031	0.000523	0.00385	Sox10 BAC 6-hitchhiker; Top 5 cis all in BAC; r=0.864 pct=99.9%	
Micall1	ENSMUSG00000033039	15	78993098	79021100	protein_coding	Sox10	ENSMUSG00000033006	RP24-85O14 (~210kb; note: UCSC span conflicts ±, coords are ±100kb est.)	15	78939108	79149440	210	-37.2	100	confirmed	L2	GSE211929	10	0.693	99.2	0.068	0.031	0.000523	0.00385	Sox10 BAC 6-hitchhiker; r=0.693 pct=99.2%	
Pick1	ENSMUSG00000068206	15	79113373	79133684	protein_coding	Sox10	ENSMUSG00000033006	RP24-85O14 (~210kb; note: UCSC span conflicts ±, coords are ±100kb est.)	15	78939108	79149440	210	79.3	100	confirmed	L2	GSE211929	10	0.55	97.2	0.068	0.031	0.000523	0.00385	Sox10 BAC 6-hitchhiker; r=0.550 pct=97.2%	
Slc16a8	ENSMUSG00000032988	15	79135214	79138961	protein_coding	Sox10	ENSMUSG00000033006	RP24-85O14 (~210kb; note: UCSC span conflicts ±, coords are ±100kb est.)	15	78939108	79149440	210	92.8	100	confirmed	L2	GSE211929	10	0.546	97.1	0.068	0.031	0.000523	0.00385	Sox10 BAC 6-hitchhiker; r=0.546 pct=97.1%	
1700088E04Rik	ENSMUSG00000033029	15	79013549	79025453	protein_coding	Sox10	ENSMUSG00000033006	RP24-85O14 (~210kb; note: UCSC span conflicts ±, coords are ±100kb est.)	15	78939108	79149440	210	-24.8	100	confirmed	L2	GSE211929	10	0.431	93.4	0.068	0.031	0.000523	0.00385	Sox10 BAC 6-hitchhiker; weak r but strong cis	
Clec4g	ENSMUSG00000074491	8	3757064	3770651	protein_coding	Fcer2a	ENSMUSG00000005540	~213kb BAC	8	3631737	3844175	213	25.9	100	candidate	L2c	GSE72831	14	0.898	99.0	-0.011	0.019	0.00399	0.015	Same BAC as Trappc5; r=0.898 pct=99.0%; cis Top-50 p=4e-3	
Mkks	ENSMUSG00000027274	2	136715700	136733309	protein_coding	Snap25	ENSMUSG00000027273	~?kb BAC	2	136555373	136624348	69	0.0	0	candidate	L2c	GSE73391	9	0.869	93.2	0.521	0.00531	0.01	0.01	Snap25 BAC; r=0.869 pct=93.2%; cis Top-10 p=5e-3 fold=188x	
Ttyh3	ENSMUSG00000036565	5	140606333	140634786	protein_coding	Lfng	ENSMUSG00000029570	RP23-79H1 (~185kb, UCSC cloneEnd lifted)	5	140520051	140705014	185	5.0	100	confirmed	L2	GSE150010	27	0.780	99.9	0.079	3.2e-04	2.1e-03	1.3e-02	TrackA tierA (Task25): r=0.780 pct=99.9 clean bg (mean_r=0.079); cis-1Mb Top-10 p=3.2e-04 CONFIRMED; Ttyh3 +5kb downstream of Lfng, inside UCSC clone-end span of RP23-79H1 (in_clone); promoter-level for other Lfng BAC lines	
Usp47	ENSMUSG00000059263	7	111622711	111710868	protein_coding	Dkk3	ENSMUSG00000030772	RP23-12M6 (220.5kb, UCSC cloneEnd lifted)	7	111628236	111848709	221	-70.0	93	confirmed	L2	GSE176528	6	0.991	99.9	0.02	1.0e-05	2.7e-04	1.1e-03	GSE176528 (Cyfip2-CKO retina via Dkk3-cre, clean bg): Usp47 rank 2/11,600, r=0.991, cis Top-10 p=1e-5 fold 387x; complete group separation Dkk3 1.9x/Usp47 1.4x (Actb inverse). Usp47 93% inside RP23-12M6 (5' neighbor). Triple independent cKO studies (Cyfip2/Fbxl11/Ezh2) all show CKO-group Dkk3 readout elevation = array Dkk3 transcription. GSE215191 bg-dirty (mean_r 0.30) non-informative; GSE71463 sort-design insensitive. Salvage cis after NO_VALID_R fix (numeric-leading MGI symbols).	
Pla2g6	ENSMUSG00000042632	15	79170428	79212590	protein_coding	Sox10	ENSMUSG00000033006	RP24-85O14 (~226kb)	15	78977644	79203297	226	116.6	15	candidate	L2c	GSE211929	10	0.498	95.9	0.068		5.2e-04	3.9e-03	Wave2: r=0.498 pct=95.9% at known 6-hitchhiker Sox10 locus (cis Top-50 5.2e-04); 3'-terminal 32kb (15%) inside RP24-85O14 (promoter-proximal 115kb outside; UCSC end-alignment shifted ~85kb in Sox10 repeat region vs Task22 curated span) — EDGE case, kept L2c candidate pending independent dataset or span arbitration; Maff rejected (outside all spans)	
Ttc12	ENSMUSG00000040219	9	49348263	49397525	protein_coding	Drd2	ENSMUSG00000032259	RP23-161H15 (~217kb)	9	49251927	49319477	68	87.2	100	candidate	L2c	GSE94145	18	0.957	99.9	-0.127	0.0091	0.00094	0.0037	Single dataset GSE94145 passes both stages (r=0.957 p=5e-10 pct 99.9 clean bg; locus cis 9.4e-4 CONFIRMED); 2nd dataset GSE114784 sign-flip (r=-0.26 pct 36, n=5) DISCLOSED; in BAC RP23-161H15 with Drd2/Ankk1 per PMC3074337 Fig1G (structure verified); DRD2-ANKK1-TTC12 linked co-expression cluster -> array-driven correlation wording; PI ruling 08-20: candidate	
Gm44421	ENSMUSG00000107451	6	90455448	90456668	lncRNA	Aldh1l1	ENSMUSG00000030088	RP23-7M9	6	90478448	90706243	227.8	-64.2	0.0	confirmed	L2	GSE158517+GSE192490	12	0.903	97.7	0.111	1.42e-02	2.34e-03	4.04e-04	wave_nc 08-20; dual-dataset same-direction; in_buffer(disclosed); r=0.903/pct=97.7; GSE192490 r=0.682 pct=93.4 (MODERATE); cis=4.0e-04	
Gm43703	ENSMUSG00000105699	5	140591544	140592306	lncRNA	Lfng	ENSMUSG00000029570	RP23-79H1	5	140520051	140705014	185.0	-5.3	100.0	confirmed	L2	GSE150010	27	0.698	99.4	0.079	1.34e-02	2.05e-03	3.22e-04	wave_nc 08-20; 5kb from Lfng; in_clone; r=0.698/pct=99.4; cis=3.2e-04	
Gm32158	ENSMUSG00000105633	5	140532190	140532593	processed_pseudogene	Lfng	ENSMUSG00000029570	RP23-79H1	5	140520051	140705014	185.0	-64.8	100.0	confirmed	L2	GSE150010	27	0.619	98.6	0.079	1.34e-02	2.05e-03	3.22e-04	wave_nc 08-20; in_clone; same clone as Ttyh3; r=0.619/pct=98.6; cis=3.2e-04	
Gm10863	ENSMUSG00000075555	15	79050110	79112454	lncRNA	Sox10	ENSMUSG00000033006	RP24-85O14	15	78977644	79203297	225.7	37.0	100.0	confirmed	L2	GSE211929	10	0.619	98.3	0.068	3.09e-02	5.23e-04	3.85e-03	wave_nc 08-20; in_clone; n=10 small-sample disclosed; r=0.619/pct=98.3; cis=5.2e-04	
